,index,name,status,team_year
0,1,Alaa Abdelnaby,OK,Portland Trail Blazers 1990-91
1,1,Alaa Abdelnaby,OK,Portland Trail Blazers 1991-92
2,1,Alaa Abdelnaby,OK,Milwaukee Bucks 1992-93
3,1,Alaa Abdelnaby,OK,Boston Celtics 1992-93
4,1,Alaa Abdelnaby,OK,Boston Celtics 1993-94
5,1,Alaa Abdelnaby,OK,Sacramento Kings 1994-95
6,1,Alaa Abdelnaby,OK,Philadelphia 76ers 1994-95
7,2,Zaid Abdul-Aziz,OK,Cincinnati Royals 1968-69
8,2,Zaid Abdul-Aziz,OK,Milwaukee Bucks 1968-69
9,2,Zaid Abdul-Aziz,OK,Milwaukee Bucks 1969-70
10,2,Zaid Abdul-Aziz,OK,Seattle SuperSonics 1970-71
11,2,Zaid Abdul-Aziz,OK,Seattle SuperSonics 1971-72
12,2,Zaid Abdul-Aziz,OK,Houston Rockets 1972-73
13,2,Zaid Abdul-Aziz,OK,Houston Rockets 1973-74
14,2,Zaid Abdul-Aziz,OK,Houston Rockets 1974-75
15,2,Zaid Abdul-Aziz,OK,Seattle SuperSonics 1975-76
16,2,Zaid Abdul-Aziz,OK,Buffalo Braves 1976-77
17,2,Zaid Abdul-Aziz,OK,Boston Celtics 1977-78
18,2,Zaid Abdul-Aziz,OK,Houston Rockets 1977-78
19,3,Kareem Abdul-Jabbar,OK,Milwaukee Bucks 1969-70
20,3,Kareem Abdul-Jabbar,OK,Milwaukee Bucks 1970-71
21,3,Kareem Abdul-Jabbar,OK,Milwaukee Bucks 1971-72
22,3,Kareem Abdul-Jabbar,OK,Milwaukee Bucks 1972-73
23,3,Kareem Abdul-Jabbar,OK,Milwaukee Bucks 1973-74
24,3,Kareem Abdul-Jabbar,OK,Milwaukee Bucks 1974-75
25,3,Kareem Abdul-Jabbar,OK,Los Angeles Lakers 1975-76
26,3,Kareem Abdul-Jabbar,OK,Los Angeles Lakers 1976-77
27,3,Kareem Abdul-Jabbar,OK,Los Angeles Lakers 1977-78
28,3,Kareem Abdul-Jabbar,OK,Los Angeles Lakers 1978-79
29,3,Kareem Abdul-Jabbar,OK,Los Angeles Lakers 1979-80
30,3,Kareem Abdul-Jabbar,OK,Los Angeles Lakers 1980-81
31,3,Kareem Abdul-Jabbar,OK,Los Angeles Lakers 1981-82
32,3,Kareem Abdul-Jabbar,OK,Los Angeles Lakers 1982-83
33,3,Kareem Abdul-Jabbar,OK,Los Angeles Lakers 1983-84
