champion_season,champion_team,last_player_season_continuous,last_player_season_non_continuous
1946,Philadelphia Warriors,"Joe Fulks (1953), George Senesky (1953)","Joe Fulks (1953), George Senesky (1953)"
1947,Baltimore Bullets,Paul Hoffman (1953),Paul Hoffman (1953)
1948,Minneapolis Lakers,George Mikan (1955),George Mikan (1955)
1949,Minneapolis Lakers,Vern Mikkelsen (1958),Vern Mikkelsen (1958)
1950,Rochester Royals,Bobby Wanzer (1956),Bobby Wanzer (1956)
1951,Minneapolis Lakers,Vern Mikkelsen (1958),Vern Mikkelsen (1958)
1952,Minneapolis Lakers,Vern Mikkelsen (1958),Vern Mikkelsen (1958)
1953,Minneapolis Lakers,Vern Mikkelsen (1958),Vern Mikkelsen (1958)
1954,Syracuse Nationals,Red Kerr (1964),Red Kerr (1964)
1955,Philadelphia Warriors,Tom Gola (1962),Tom Gola (1962)
1956,Boston Celtics,Bill Russell (1968),Bill Russell (1968)
1957,St. Louis Hawks,Cliff Hagan (1965),Cliff Hagan (1965)
1958,Boston Celtics,"Sam Jones (1968), Bill Russell (1968)","Sam Jones (1968), Bill Russell (1968)"
1959,Boston Celtics,"Sam Jones (1968), Bill Russell (1968)","Sam Jones (1968), Bill Russell (1968)"
1960,Boston Celtics,Satch Sanders (1972),Satch Sanders (1972)
1961,Boston Celtics,Satch Sanders (1972),Satch Sanders (1972)
1962,Boston Celtics,John Havlicek (1977),John Havlicek (1977)
1963,Boston Celtics,John Havlicek (1977),John Havlicek (1977)
1964,Boston Celtics,John Havlicek (1977),John Havlicek (1977)
1965,Boston Celtics,John Havlicek (1977),John Havlicek (1977)
1966,Philadelphia 76ers,Billy Cunningham (1975),"Billy Cunningham (1975), Wali Jones (1975)"
1967,Boston Celtics,John Havlicek (1977),John Havlicek (1977)
1968,Boston Celtics,John Havlicek (1977),Don Chaney (1979)
1969,New York Knicks,"Bill Bradley (1976), Walt Frazier (1976)","Bill Bradley (1976), Walt Frazier (1976)"
1970,Milwaukee Bucks,Bob Dandridge (1976),Bob Dandridge (1981)
1971,Los Angeles Lakers,"Gail Goodrich (1975), Pat Riley (1975)","Gail Goodrich (1975), Pat Riley (1975)"
1972,New York Knicks,Earl Monroe (1979),Earl Monroe (1979)
1973,Boston Celtics,Dave Cowens (1979),"Don Chaney (1979), Dave Cowens (1979)"
1974,Golden State Warriors,Clifford Ray (1980),Clifford Ray (1980)
1975,Boston Celtics,Dave Cowens (1979),Dave Cowens (1979)
1976,Portland Trail Blazers,Bob Gross (1981),Maurice Lucas (1987)
1977,Washington Bullets,Greg Ballard (1984),Greg Ballard (1984)
1978,Seattle SuperSonics,Jack Sikma (1985),Jack Sikma (1985)
1979,Los Angeles Lakers,Magic Johnson (1995),Magic Johnson (1995)
1980,Boston Celtics,Robert Parish (1993),Robert Parish (1993)
1981,Los Angeles Lakers,Magic Johnson (1995),Magic Johnson (1995)
1982,Philadelphia 76ers,Maurice Cheeks (1988),Moses Malone (1993)
1983,Boston Celtics,Robert Parish (1993),Robert Parish (1993)
1984,Los Angeles Lakers,Magic Johnson (1995),Byron Scott (1996)
1985,Boston Celtics,Robert Parish (1993),Robert Parish (1993)
1986,Los Angeles Lakers,Magic Johnson (1995),A.C. Green (1999)
1987,Los Angeles Lakers,Magic Johnson (1995),A.C. Green (1999)
1988,Detroit Pistons,Joe Dumars (1998),Joe Dumars (1998)
1989,Detroit Pistons,Joe Dumars (1998),Joe Dumars (1998)
1990,Chicago Bulls,"Michael Jordan (1997), Scottie Pippen (1997)",Scottie Pippen (2003)
1991,Chicago Bulls,"Michael Jordan (1997), Scottie Pippen (1997)",Scottie Pippen (2003)
1992,Chicago Bulls,"Michael Jordan (1997), Scottie Pippen (1997)",Scottie Pippen (2003)
1993,Houston Rockets,Hakeem Olajuwon (2000),"Matt Bullard (2000), Hakeem Olajuwon (2000)"
1994,Houston Rockets,Hakeem Olajuwon (2000),Hakeem Olajuwon (2000)
1995,Chicago Bulls,"Randy Brown (1999), Toni Kukoc (1999)",Scottie Pippen (2003)
1996,Chicago Bulls,"Randy Brown (1999), Toni Kukoc (1999)",Scottie Pippen (2003)
1997,Chicago Bulls,"Randy Brown (1999), Toni Kukoc (1999), Rusty LaRue (1999), Dickey Simpkins (1999)",Scottie Pippen (2003)
1998,San Antonio Spurs,Tim Duncan (2015),Tim Duncan (2015)
1999,Los Angeles Lakers,Kobe Bryant (2015),Kobe Bryant (2015)
2000,Los Angeles Lakers,Kobe Bryant (2015),Kobe Bryant (2015)
2001,Los Angeles Lakers,Kobe Bryant (2015),Kobe Bryant (2015)
